war_rank,team,conference,war_bat,war_pit,war_total,wrcplus_adj,wrcplus_raw,pitchplus_adj
1,Texas Tech,Big 12,45.334,34.028,79.363,203.267,171.185,200.572
2,Oklahoma,SEC,48.124,27.503,75.627,225.214,189.184,185.186
3,UCLA,Big Ten,54.144,20.264,74.408,235.005,200.198,146.592
4,Texas,SEC,38.610,35.373,73.983,197.202,135.624,203.844
5,Florida,SEC,43.008,30.906,73.915,202.703,154.753,184.667
6,Alabama,SEC,34.856,38.154,73.011,185.775,133.413,221.835
7,Nebraska,Big Ten,31.879,34.319,66.198,179.366,132.156,209.383
8,Arkansas,SEC,36.006,28.661,64.667,201.911,146.699,197.000
9,Tennessee,SEC,27.455,36.538,63.993,171.221,112.260,222.375
10,Georgia,SEC,36.360,27.082,63.442,197.356,140.030,176.090
11,Texas A&M,SEC,34.731,27.246,61.977,196.550,143.791,182.868
12,Duke,ACC,37.101,24.782,61.883,190.243,148.066,153.854
13,Mississippi St.,SEC,23.905,36.821,60.726,154.293,94.715,209.143
14,LSU,SEC,29.740,30.616,60.357,175.684,114.005,190.290
15,Virginia Tech,ACC,32.660,25.976,58.636,181.027,152.793,171.815
16,Florida St.,ACC,31.231,26.575,57.806,182.137,147.332,176.620
17,Oklahoma St.,Big 12,28.764,27.630,56.394,170.651,123.625,176.649
18,South Carolina,SEC,25.975,28.927,54.902,164.096,106.129,179.928
19,Arizona St.,Big 12,27.729,26.392,54.121,165.987,128.846,167.046
20,Ole Miss,SEC,28.150,25.853,54.003,166.343,112.414,161.998
21,Oregon,Big Ten,26.071,26.195,52.266,168.002,125.491,180.398
22,UCF,Big 12,26.292,25.568,51.860,165.396,126.508,166.572
23,Washington,Big Ten,28.351,23.221,51.572,171.219,130.762,164.614
24,Georgia Tech,ACC,26.183,24.814,50.997,162.199,117.354,162.206
25,Indiana,Big Ten,29.646,18.814,48.461,175.982,157.754,150.215
26,Stanford,ACC,25.130,22.541,47.671,168.240,131.019,160.876
27,Missouri,SEC,21.229,26.083,47.312,149.511,91.311,169.660
28,Grand Canyon,Mountain West,22.419,23.992,46.411,149.118,128.880,162.913
29,Clemson,ACC,22.439,23.893,46.331,155.236,110.401,163.185
30,Virginia,ACC,20.426,24.708,45.133,150.384,117.385,173.141
31,Louisville,ACC,26.793,18.238,45.032,162.000,138.056,139.633
32,Kansas,Big 12,25.702,19.045,44.747,167.000,135.392,146.913
33,Auburn,SEC,23.845,20.755,44.601,164.812,111.013,152.415
34,Arizona,Big 12,26.480,17.541,44.021,169.864,124.506,140.646
35,Texas St.,Sun Belt,18.789,25.112,43.901,137.558,101.065,166.275
36,Michigan,Big Ten,22.809,19.658,42.468,152.803,119.823,145.170
37,Northwestern,Big Ten,21.159,20.822,41.981,157.811,119.317,163.511
38,Utah,Big 12,19.976,21.754,41.730,144.387,118.165,158.275
39,Penn St.,Big Ten,24.088,17.504,41.592,161.029,136.400,144.106
40,Nevada,Mountain West,24.853,15.905,40.758,157.372,131.345,131.446
41,Southeastern La.,Southland,16.537,23.912,40.449,131.480,116.964,171.411
42,Marshall,Sun Belt,19.517,19.903,39.420,145.790,113.295,148.709
43,Ohio St.,Big Ten,25.595,13.220,38.815,174.288,139.654,125.410
44,North Carolina,ACC,26.100,12.700,38.800,173.063,146.413,124.860
45,South Fla.,American,14.689,23.553,38.242,125.095,92.989,159.153
46,Boston U.,Patriot League,22.209,15.930,38.139,144.143,142.366,133.147
47,Jacksonville St.,Conference USA,21.115,16.975,38.090,144.691,122.186,136.337
48,Wichita St.,American,22.255,15.214,37.469,159.039,132.662,137.815
49,Kentucky,SEC,16.946,20.406,37.352,140.596,89.526,150.589
50,Iowa St.,Big 12,23.720,13.385,37.106,156.860,131.941,122.879
51,Baylor,Big 12,15.367,21.735,37.103,129.904,85.425,150.643
52,McNeese,Southland,21.703,14.325,36.029,144.562,122.273,120.909
53,Louisiana,Sun Belt,18.467,17.230,35.697,143.132,105.824,139.310
54,South Alabama,Sun Belt,13.181,22.468,35.649,125.069,78.878,158.140
55,Fla. Atlantic,American,16.302,18.312,34.614,137.796,110.435,150.845
56,Rutgers,Big Ten,22.298,12.186,34.484,153.433,129.133,118.686
57,Cal St. Fullerton,Big West,16.963,17.388,34.351,137.953,111.889,140.970
58,Purdue,Big Ten,17.280,16.503,33.784,140.433,113.900,139.569
59,Stetson,ASUN,20.346,13.420,33.765,146.051,125.917,124.941
60,NC State,ACC,16.904,16.697,33.602,141.068,107.381,139.498
61,Western Ky.,Conference USA,14.824,18.592,33.416,133.733,125.670,159.408
62,Saint Mary's (CA),WCC,15.714,17.472,33.186,129.853,103.176,138.075
63,Troy,Sun Belt,15.935,17.152,33.086,133.484,108.269,141.527
64,Wisconsin,Big Ten,17.315,15.750,33.065,142.168,105.693,135.412
65,Miami (OH),MAC,18.487,14.514,33.001,139.687,132.574,128.901
66,Belmont,Missouri Valley,10.869,22.059,32.928,116.011,101.849,170.281
67,Notre Dame,ACC,16.369,16.081,32.450,135.989,104.673,137.572
68,ULM,Sun Belt,10.937,21.083,32.021,113.838,82.653,149.426
69,Iowa,Big Ten,16.658,15.346,32.004,137.348,96.108,130.419
70,Omaha,Summit League,16.284,15.431,31.715,146.696,137.398,156.630
71,St. Thomas (MN),Summit League,16.458,15.214,31.672,136.553,123.966,138.775
72,Charlotte,American,18.804,12.599,31.403,142.974,111.593,119.707
73,UNC Greensboro,SoCon,12.071,18.653,30.724,115.175,105.043,141.863
74,Liberty,Conference USA,16.924,13.711,30.635,137.308,98.532,125.137
75,Louisiana Tech,Conference USA,14.523,15.811,30.333,129.203,105.144,139.596
76,North Florida,ASUN,13.563,16.755,30.319,122.116,107.345,137.252
77,California Baptist,WAC,10.876,18.719,29.595,111.897,107.100,143.155
78,James Madison,Sun Belt,17.455,11.879,29.334,143.021,113.095,120.518
79,UConn,Big East,15.568,13.300,28.868,127.212,113.796,121.134
